"Type","Speaker","Topic","Year"
"Poster","Uzay Cetin, Haluk Bingol","Computational Models of Attention Competition",2015
"Poster","Vadim Voskresenskiy, Kirill Sukharev, Ilya Musabirov, Daniel Alexandrov","Online Communication in Appartment Buildings of St.Petersburg",2015
"Poster","Vishal Singh, John Gero","Agent based simulation studies of emergence of design practice through the lens of legitimation code theory",2015
"Poster","Yana Volkovich, David Laniado, Karolin Kappler, Andreas Kaltenbrunner","Gender homophily in a large online social network",2015
"Poster","Yaniv Altshuler, Alex Pentland, Goren Gordon","From Individual Knowledge Management to Social Information Flow",2015
"Poster","Yerali Gandica, Floriana Gargiulo, Timoteo Carletti","Social constraints on the metapopulation Schelling model over complex networking",2015
"Poster","Yohsuke Murase, Janos Torok, Hang-Hyun Jo, Kimmo Kaski, Janos Kertesz","Multilayer Weighted Social Network Model",2015
"Poster","Zhe Liu, Ingmar Weber","Is Twitter a Public Sphere for Online Conflicts? A Cross-Ideological and Cross-Hierarchical Look",2015
"Poster","Sofiane Abbar, Yelena Mejova, Ingmar Weber","You Tweet What You Eat: Studying Food Consumption Through Twitter",2015
"Networks","Radu Marculescu","Understanding communities at nanoscale: Bacteria networks formation, dynamics, and control for healthcare applications",2015
"Networks","Ulrich Matter, Omar Guerrero","Uncovering vote trading through networks and computation",2015
"Networks","Martin Rosvall, Renaud Lambiotte, Andrea Lancichinetti, Manlio De Domenico, Alex Arenas","Higher-order network flows captured by memory and multiplex networks and their effects on community detection",2015
"Networks","Vedran Sekara, Sune Lehmann","High-resolution dynamics of social behaviour",2015
"Online Social Media","Javier Borge-Holthoefer, Walid Magdy, Kareem Darwish, Ingmar Weber","Content and network dynamics behind Egyptian political polarization on Twitter",2015
"Online Social Media","Philipp Singer, Florian Geigl, Denis Helic, Andreas Hotho, Markus Strohmaier","Bayesian comparison of hypotheses about human trails on the Web",2015
"Online Social Media","Arnau Gavalda, David R Choffnes, John S Otto, Mario A Sanchez, Fabian E Bustamante, Luis AN Amaral, Roger Guimera, Jordi Duch","Understanding user behaviour in massive decentralized sharing networks",2015
"Online Social Media","Jared Lorince, Kenneth Joseph, Peter Todd","Do tags really functions as retrieval aids?",2015
"Games and Economic Behavior","Fabio Saracco, Riccardo Di Clemente, Andrea Gabrielli, Luciano Pietronero","From innovation to diversification: a simple competitive model",2015
"Games and Economic Behavior","Zhao Yang, Claudio Tessone, Radu Tanase, Rene Algesheimer","Fraud behavior on an online shopping platform",2015
"Games and Economic Behavior","Jonathan Gray, Jakub Bijak, Seth Bullock","Decision theoretic agent based modelling: Pregnancy and alcohol misuse",2015
"Games and Economic Behavior","Nicholas Sabin, Felix Reed-Tsochas","Structural embeddedness and economic performance in microfinance",2015
"Opinion Dynamics","Marco Alberto Javarone, Serge Galam","Modeling group polarization in terrorism dynamics",2015
"Opinion Dynamics","Toni Perez, Juan Fernandez-Gracia, Jose J Ramasco, Victor M Eguiluz","Persistence in collective behavior: stronghold dynamics in elections",2015
"Opinion Dynamics","Guillem Mosquera-Donate, Marian Boguna","Follow the leader: herding behavior in heterogeneous populations",2015
"Opinion Dynamics","Ali Nahm, Alex Pentland, Peter Krafft","Measuring the political preferences of the U.S. electorate",2015
"Influence","Antonios Proestakis, Eugenia Polizzi di Sorrentino, Ankur Mani, Sandra Caldeira, Helen Brown, Esther van Sluijs, Benedikt Herrmann","Social based incentives for increasing physical activity: A school based field experiment",2015
"Influence","Bas Hofstra, Rense Corten, Vincent Buskens","Learning in social networks: Selecting profitable choices among alternatives of uncertain profitability in various networks",2015
"Influence","Marton Karsai, Gerardo Iniguez, Kimmo Kaski, Janos Kertesz","Complex contagion process in spreading of online innovation",2015
"Influence","Matthew Denny","Inferring latent influence diffusion networks in the United States senate",2015
"Keynote","Lada Adamic","From friend to friend to friend: information diffusion on Facebook",2015
"Keynote","Andreas Flache","The complexity of social integration: a chance and a challenge for big data?",2015
"Plenary","Peter Burnap, Matthew Williams","Computational human security analytics using Big Data",2015
"Keynote","Robin Dunbar","Does the Internet really allow you to have more friends?",2015
"Plenary","Andrey Bogomolov, Bruno Lepri, Roberto Larcher, Fabrizio Antonelli, Fabio Pianesi, Alex Pentland","Energy consumption prediction using people dynamics derived from cellular network data",2015
"Plenary","Evangelos Pournaras, Matteo Vasirani, Robert Kooij, Karl Aberer","Socio-technical trade-offs in self-regulating smart grids",2015
"Plenary","Joscha Legewie","Edge detection algorithms, neighborhood boundaries and the consequences for violent crime and inter-ethnic Conflict",2015
"Science meets industry","Ville Suur-Uski","Clans and social interactions in Clash of Clans",2015
"Science meets industry","Juuso Parkkinen","Probabilistic programming for understanding regional trends in apartment prices",2015
"Science meets industry","Matti Aksela","Practical application of machine learning through a cloud based delivery model for the Internet of Things",2015
"Science meets industry","Kimmo Pentikainen","Finland-the highest mobile data usage in the world",2015
"Networks","Nitesh Chawla, Jie Tang, Yuxiao Dong","The evolution of social strategies across the lifespan",2015
"Networks","Sergey Melnik, Mason Porter, Peter Mucha, James Gleeson","Modelling social contagion on heterogeneous networks of networks",2015
"Networks","Polina Rozenshtein, Aris Anagnostopoulos, Aristides Gionis, Tatti Nikolaj","Event detection in activity networks",2015
"Networks","Luca Marotta, Salvatore Micciche, Yoshi Fujiwara, Hiroshi Iyetomi, Hideaki Aoyama, Mauro Gallegati, Rosario Mantegna","Bank-firm credit network in Japan. An analysis of a bipartite network",2015
"Online Social Media","Alessandro Bessi, Michela Del Vicario, Fabiana Zollo, Guido Caldarelli, Antonio Scala, Walter Quattrociocchi","Misinformation on online social media",2015
"Online Social Media","Claudia Wagner, Mohsen Jadidi, David Garcia, Markus Strohmaier","Gender inequalities on Wikipedia",2015
"Online Social Media","David Garcia, Ingmar Weber, Venkata Rama","Gender asymmetries in reality and fiction: the bechdel test of social media",2015
"Online Social Media","niko Hannak, Drew Margolin, Ingmar Weber","Political fact checking on Twitter: When do corrections have an effect?",2015
"Games and Economic Behavior","Duy Vu, Paola Zappa, Alessandro Lomi","The micro-relational structure of the interbank overnight money market",2015
"Games and Economic Behavior","Andrea Gabrielli, Giulio Cimini, Diego Garlaschelli, Tiziano Squartini","Systemic risk analysis in reconstructed economic and financial networks",2015
"Games and Economic Behavior","Jelena Grujic, Henrik Jeldtoft Jensen","Model of intermittent behaviour based on multistrategy game",2015
"Games and Economic Behavior","Gabriel Rosser, Toby Davies, Tao Cheng","Self-exciting network-constrained point process modelling for crime prediction",2015
"Mobility","Anastasios Noulas, Blake Shaw, Renaud Lambiotte, Cecilia Mascolo","Topological properties and temporal dynamics of place networks in urban environments",2015
"Mobility","Sang Hoon Lee, Robyn Ffrancon, Daniel M Abrams, Beom Jun Kim, Mason A Porter","Matchmaker, matchmaker, make me a match: migration of populations via marriages in the past",2015
"Mobility","Jose J Ramasco, Maxime Lenormand, Bruno Goncalves, Antonia Tugores","Measuring global and regional influence of cites using geolocated tweets",2015
"Mobility","Andrea Cuttone, Sune Lehmann, Jakob Eg Larsen","Analyzing human mobility at multiple spatio-temporal scales",2015
"Networks","David Hachen, Omar Lizardo, Michael Penta, Brandon Sepulvado, Matthew Chandler","Social tie formation, development and persistence: insights from the analysis of changes in the social networks of a college student cohort",2015
"Networks","Fragkiskos Malliaros, Michalis Vazirgiannis","Disengagement social contagion: Assessing network vulnerability under node departures",2015
"Networks","Antonia Godoy, Roger Guimera, Marta Sales-Pardo","Long-term evolution of email communication networks",2015
"Networks","Hyejin Youn, Daniel Kim, Jose Lobo, Deborah Strumsky","Understanding technology pathway from U.S. patents",2015
"Networks","Els Heinsalu, Marco Patriarca, Andrzej Pekalski, Janusz Szwabinski","Cooking recipes as an instance of cultural competition and spreadings",2015
"Networks","Matteo Magnani, Luca Rossi","Local simplification of multiplex networks",2015
"Networks","Marija Mitrovic Dankulov, Bosiljka Tadic","The dynamics of collective knowledge building via questions and answers",2015
"Networks","Polina Rozenshtein, Nikolaj Tatti, Aristides Gionis","Discovering dynamic communities in interaction networks",2015
"Online Social Media","Farshad Kooti, Gabriel Magno, Ingmar Weber","The social name-letter effect on online social networks",2015
"Online Social Media","Maria Giatsoglou, Despoina Chatzakou, Neil Shah, Alex Beutel, Christos Faloutsos, Athena Vakali","Spotting fake retweeting activity in Twitter",2015
"Online Social Media","Ian Wood, Johan Bollen, Luis Rocha","Eigenday twitter analysis",2015
"Online Social Media","Carlos Castillo, Gianmarco De Francisci Morales, Marcelo Mendoza, Nasir Khan","Automatic analysis of television news: Media, people, framing and bias",2015
"Online Social Media","Mariano Beguerisse Diaz, Guillermo Garduno, Sophia N Yaliraki, Mauricio Barahona","Beyond metadata: Using content to reveal the evolution of narratives in social media",2015
"Online Social Media","Alex Peysakhovich, Sean Taylor","Forecasting Cultural Trends on Social Media Using the Crowd",2015
"Online Social Media","Cristobal Garcia, Denis Parra, Peter Gloor","What can Twitter tell us about leadership in networked social movements: predicting the future success of the 2011-13 Chilean student movements leaders",2015
"Games and Economic Behavior","Simone Righi, Karoly Takacs","Emotional strategies as catalysts for cooperation in signed networks",2015
"Games and Economic Behavior","Niels Buus Lassen, Rene Madsen, Abid Hussain, Ravi K Vatrapu","Predictive analytics with big social data",2015
"Games and Economic Behavior","Greg Morrison, Orion Penner, Roberto Catini, Massimo Riccaboni, Fabio Pammolli","The local structure of worldwide innovation hubs",2015
"Games and Economic Behavior","Ioannis Zisis, The Anh Han, Sibilla di Guida, Georg Kirchsteiger, Tom Lenaerts","Generosity motivated by acceptance-evolutionary analysis of an anticipation game",2015
"Games and Economic Behavior","Marco Smolla, Tucker Gilman, Tobias Galla, Susanne Shultz","Adding resource competition makes social learning models more elegant",2015
"Games and Economic Behavior","Seth Frey, Robert W Sumner","Scaling of governance styles in designer societies",2015
"Games and Economic Behavior","Matteo Chinazzi, Stefano Pegoraro, Giorgio Fagiolo","Defuse the bomb: rewiring interbank metworks",2015
"Communication","Guy Zyskind, Bruno Lepri, Alex Pentland, Erez Shmueli","On the complementary roles of face-to-face and mediated social interactions",2015
"Communication","Mikko Kivela, Mason Porter","Estimating inter-event time distributions from finite observation periods in communication networks",2015
"Communication","Hang-Hyun Jo, Jari Saramaki, Robin Dunbar, Kimmo Kaski","Spatial patterns of close relationships across the lifespan",2015
"Communication","Kyriaki Kalimeri, Ailbhe Finnerty, Fabio Pianesi","Ingredients of great teams: happiness and productivity in organisations",2015
"Communication","Eduardo Lopez, Jari Saramaki, Elizabeth Leicht, Robin Dunbar, Sam Roberts, Felix Reed-Tsochas","Persistence of social signatures in human communication",2015
"Communication","Yannick Leo, Eric Fleury, Carlos Sarraute, Marton Karsai","Socioeconomic correlations in social communication networks",2015
"Communication","Nitesh Chawla, Jie Tang, Yuxiao Dong","Inferring social status and rich club effects in enterprise communication networks",2015
"Communication","Talayeh Aledavood, Robin Dunbar, Eduardo Lopez, Esteban Moro, Sam Roberts, Felix Reed-Tsochas, Jari Saramaki","Persistent daily patterns in mobile telephone communication",2015
"Success","Alexander Petersen","The apostle effect: Quantifying the impact of super ties in scientific careers",2015
"Success","Roberta Sinatra, Dashun Wang, Pierre Deville, Chaoming Song, Albert-Laszlo Barabasi","Quantifying patterns of scientific excellence",2015
"Success","Giulio Cimini, Andrea Gabrielli, Francesco Sylos-Labini","The scientific competitiveness of nations",2015
"Success","Gergely Palla, Gergely Tibely, Enys Mones, Peter Pollner, Tamas Vicsek","Hierarchical networks of scientific journals",2015
"Success","Floriana Gargiulo, Timoteo Carletti","The classical origin of modern science",2015
"Success","Michael Szell, Roberta Sinatra, Albert-Laszlo Barabasi","Understanding effort and success in teams",2015
"Success","Dashun Wang, Chaoming Song, Albert-Laszlo Barabasi","Understanding success in science and technology",2015
"Success","Stefano Balietti, Robert Goldstone, Dirk Helbing","Competition promotes diversity and innovation, but undermines fair peer review",2015
"Keynote","Peter Sheridan Dodds","The Panometer: Building Lexicon Meters to Gauge Emotional State, Health, Opinion and Stories",2016
"Keynote","Sendhil Mullainathan","Keynote",2016
"Keynote","Sandra Gonzalez-Bailon","Online Networks and Large-Scale Coordination",2016
"Keynote","Markus Strohmaier","Measuring Social Phenomena on the Web",2016
"Science of Science","Samuel Way, Daniel Larremore, Aaron Clauset","Gender, Productivity, and Prestige in Computer Science Faculty Hiring Networks",2016
"Science of Science","Eliza Evans","Measuring Interdisciplinarity Using Text",2016
"Science of Science","Vasyl Palchykov, Valerio Gemmetto, Alexey Boyarsky, Diego Garlaschelli","Ground truth? Clustering Scientific Publications",2016
"Science of Science","Roberta Sinatra, Pierre Deville, Michael Szell, Dashun Wang, Albert-Laszlo Barabasi","Exploring the Anatomy of Physics",2016
"Science of Science","Greg Morrison, Fabio Pammolli","Global Knowledge Spillovers Through Institutional Collaborations",2016
"Science of Science","Kyeongan Kwon, Dinesh Majeti, Brian Uzzi, Ioannis Pavlidis","Scholar Plot: Visualizing Scientific Careers at a Glance",2016
"Science of Science","Roberta Sinatra, Dashun Wang, Pierre Deville, Chaoming Song, Albert-Laszlo Barabasi","Quantifying and Predicting Patterns of Individual Scientific Impact",2016
"Political Networks","Corentin Vande Kerckhove, Mickael Temporão, Yannick Dufresne","Ideological Scaling of Social Networks’ Users",2016
"Political Networks","Vincent Antonio Traag","Complex Contagion of Campaign Donations",2016
"Political Networks","Maksym Romenskyy, Viktoria Spaiser, Vladimir Lobaskin","Political Polarization in Ukraine 2014: Opinion and Territorial Split Demonstrated with the Bounded Confidence XY Model, Validated by Twitter Data",2016
"Political Networks","Lijun Sun, Morgan R Frank, Brad L Leveck, Iyad Rahwan","Quantifying the Signatures of Global Cooperation and Conflict",2016
"Political Networks","Aaron Schein, Mingyuan Zhou, David Blei, Hanna Wallach","Modeling International Relations with Bayesian Poisson Tucker Decomposition",2016
"Political Networks","Yun Huang","Data-Driven Approaches to Understanding Community Policing on Social Media Platforms",2016
"Political Networks","Venkata Rama, Ingmar Weber, Munmun De Choudhury","Quote RTs on Twitter: Usage of the New Feature for Political Discourse",2016
"Economic Networks","Daniel Romero, Brian Uzzi, Jon Kleinberg","Social Networks Under Stress",2016
"Economic Networks","Tomomi Kito, Steve New, Felix Reed-Tsochas","Towards Modeling Inter-Firm Networks: Empirical Analysis and Characterization of Automobile Parts Supply Relationship Formations",2016
"Economic Networks","Matthias Leiss, Christian Schulz, Agnes Horvat, Dirk Helbing, Brian Uzzi","How Communication Networks Help Achieve Collective Goals",2016
"Economic Networks","Andrey Fradkin","Search, Matching, and the Role of Digital Marketplace Design in Enabling Trade",2016
"Economic Networks","Pramesh Singh, Panagiotis Karampournioutis, Jayaram Uparna, Agnes Horvat, Boleslaw Szymanski, Gyorgy Korniss, Jon Bakdash, Brian Uzzi","Fintech and The Flat World Hypothesis: Peer-to-Peer Lending Bias",2016
"Economic Networks","Mohsen Mosleh, Babak Heydari","Fair Topologies: Structural Drivers of Evolution of Fairness in Social Networks",2016
"Economic Networks","Julius Adebayo, Yoshihiko Suhara, Vivek Singh, Burcin Bozkaya, Alex Pentland","Forecasting Financial Well-Being for Small and Medium Enterprises Using Network-Based Signals",2016
"Social Contagion","Niccolo Pescetelli, Nick Yeung","Real-time Uncertainty Update in Interactive and Non-Interactive Social Exchange",2016
"Social Contagion","Adam Pah, Andrew Jennings, Aditya Jain, Adam Hockenberry, Luis Amaral","Are School Shootings Contagious?",2016
"Social Contagion","Francesca Tria, Vittorio Loreto, Vito D P Servedio, Steven H Strogatz","The Dynamics of Correlated Novelties",2016
"Social Contagion","Kang Zhao, Shiyao Wang, Ion Vasi, Zhang","The Concurrent Diffusion of Information and Behaviors in Online Social Networks",2016
"Social Contagion","Yang Yang, Adam Pah, Brian Uzzi","The Global Terrorism Network: Power Law Foundations of System Behavior",2016
"Social Contagion","Neelanjan Sircar","Analyzing Randomized Experiments with Spillovers Neelanjan Sircar Synthetic Webs of Trust for Egalitarian Communities",2016
"Social Contagion","Edward Platt, Daniel Romero","Synthetic Webs of Trust for Egalitarian Communities",2016
"Social Contagion","Yelena Mejova, Sofiane Abbar, Ingmar Weber","Influence in Food Consumption: Will You Eat Ice Cream When it Rains?",2016
"Social Networks","Kristen Altenburger, Johan Ugander","Ruffled Feathers: When Can Gender Be Inferred on Social Networks?",2016
"Social Networks","Zsofia Boda","Social Effects on Racial Perception",2016
"Social Networks","Yuxiao Dong, Reid Johnson, Jian Xu, Nitesh Chawla","Structural Diversity and Homophily Across Many Large-Scale Social Networks",2016
"Social Networks","Yuxiao Dong, Omar Lizardo, Nitesh Chawla","Longer Degrees of Separation Between Seniors in Mobile Communication",2016
"Social Networks","Momin Malik, Juergen Pfeffer","Platform Effects in Social Media Networks",2016
"Social Networks","Aaron Schecter, Yiheng Sun, Leslie Dechurch, Noshir Contractor","The Semantic Networks that Underpin Group Interaction",2016
"Social Networks","Andrzej Nowak, Michele Gelfand, Wojciech Borkowski","Functionality of the Honor Cultures; Evolutionary Approach",2016
"Social Dynamics and Influence","Joshua Becker, Devon Brackbill, Damon Centola","An Experimental Study of Critical Mass",2016
"Social Dynamics and Influence","Julia Poncela-Casasnovas, Mario Gutierrez-Roig, Carlos Gracia-Lazaro, Julia Vicens, Jesus Gomez-Gardenes, Josep Perello, Yamir Moreno, Jordi Duch, Angel Sanchez","Uncovering Human Behavioral Phenotypes: A Lab-in-the-Field Game Theory Experiment",2016
"Social Dynamics and Influence","Przemyslaw Grabowicz, Francisco Romero Ferrero, Theo Lins, Fabricio Benevenuto, Gonzalo Polavieja, Krishna Gummadi","An Experimental Study of Opinion Influenceability",2016
"Social Dynamics and Influence","Taha Yasseri","Social Influence through Social Information: Insights from Three Large Scale Online Experiments with Millions of Participants",2016
"Social Dynamics and Influence","Amit Sharma, Jake Hofman, Duncan Watts","Estimating the Causal Impact of Recommendation Systems from Observational Data",2016
"Social Dynamics and Influence","William Pickering, Boleslaw Szymanski, Chjan Lim","Opinion Diversity and the Stability of Social Systems: Implications from a Model of Social Influence",2016
"Social Dynamics and Influence","Corentin Vande Kerckhove, Samuel Martin, Pascal Gend, Julien M Hendrick","The Unpredictability of Human Opinion Dynamics",2016
"Keynote","Dirk Brockmann","Experimental Epidemiology - Measuring What Matters in Disease Dynamics",2016
"Keynote","Susan Athey","Keynote",2016
"Keynote","Balazs Vedres","Fold Networks and Success with Innovation",2016
"Keynote","Michael Kearns","Private Search in Social Networks",2016
"Keynote","Alessandro Lomi","Keynote",2016
"Collective Action","Joshua Mausolf","Occupy The Government: Presidential and Congressional Rhetorical Response to the Occupy Movement",2016
"Collective Action","Brooke Foucault Welles, Sarah Jackson","The Networked Battle for #Baltimore: A Mixed-Methods Exploration of the Framing of Urban Unrest",2016
"Collective Action","Han Zhang","Causal Effect of Witnessing Political Protest on Civic Engagement",2016
"Art and Music","Dmitry Zinoviev","Soviet Popular Music Landscape: Community Structure and Success Predictors",2016
"Art and Music","Arram Bae, Doheum Park, Yong-Yeol Ahn, Juyong Park","The Multi-Scale Network Landscape of Collaboration",2016
"Art and Music","Valerio Ciotti, Marco Serino, Noshir Contractor, Leslie Dechurch, Pietro Panzarasa","The Structural Foundations of Creativity: A Network-based Study of Coproductions Among Italian Theatres",2016
"Art and Music","Michael Mauskapf, Agnes Horvat, Noah Askin, Brian Uzzi","Understanding the Link Between Quality, Social Influence, and Success in Popular Music",2016
"Social Networks","Mark Newman, Aaron Clauset","Structure and Inference in Annotated Networks",2016
"Social Networks","Alexander Gutfraind, Ilya Safro, Lauren Meyers","Multiscale Network Generator",2016
"Social Networks","Eun-Kyeong Kim, Hang-Hyun Jo","Burstiness Parameter for Finite Event Sequences",2016
"Social Networks","Milena Tsvetkova, Ruth Garcia Gavilanes, Taha Yasseri","Dynamics of Disagreement: Large-Scale Temporal Network Analysis Reveals Negative Interactions in Online Collaboration",2016
"Cities and Mobility","Edmond Awad, Max Kleiman-Weiner, Sohan Dsouza, Jean-Francois Bonnefon, Azim Shariff, Josh Tenenbaum, Iyad Rahwan","Commission and Omission Decisions by Autonomous Vehicles in Moral Dilemmas",2016
"Cities and Mobility","Pierpaolo Mastroianni, Bernardo Monechi, Vito Servedio, Carlo Liberto, Gaetano Valenti, Vittorio Loreto","Local Optimization Strategies in Urban Mobility from Geo-referenced Floating Car Data",2016
"Cities and Mobility","Giovanni Ciampaglia, Jose J Ramasco, Bruno Goncalves","Night Life and Road Safety: A Comparison of 7 Italian Cities",2016
"Cities and Mobility","Aleix Bassolas, Maxime Lenormand, Antonia Tugores, Bruno Goncalves, Jose J Ramasco","Touristic Site Attractiveness Seen through Twitter",2016
"Information and Attention","Pablo Barrio, Daniel Goldstein, Jake Hofman","Improving Comprehension of Numbers in the News",2016
"Information and Attention","Ruth Garcia Gavilanes, Milena Tsvetkova, Taha Yasseri","Dynamics and Biases of Online Attention: The Case of Aircraft Crashes",2016
"Information and Attention","Azadeh Nematzadeh, Giovanni Ciampaglia, Yong-Yeol Ahn, Alessandro Flammini","From Conversation to Cacophony: Information Overload and Collective Communication in Twitch",2016
"Information and Attention","Alessandro Bessi, Michela Del Vicario, Ana Lucia Schmidt, Fabiana Zollo, Guido Caldarelli, Antonio Scala, Walter Quattrociocchi","Epidemiology of Misinformation Online",2016
"Language","Amir Goldberg, Sameer Srivastava, V Govind Manian, Christopher Potts","Enculturation Trajectories and Individual Attainment: An Interactional Language Use Model of Cultural Dynamics in Organizations",2016
"Language","John Shanahan, Robin Burke, Antonio Ceraso, Jessica Bishop-Royse","Data Sources for Modeling Library Texts and Readership",2016
"Language","Scott Hale","Roles of Bilinguals on User-generated Content Platforms",2016
"Crowd","Chien-Yi Hsiang, Albert Armisen, Sabine Brunswicker","Knowledge Reuse in Innovation Crowds: The Role of Semantic Heterogeneity",2016
"Crowd","Mary Gray, Siddharth Suri, Ming Yin, Jennifer Wortman Vaughan, Syed Shoaib Ali, Deepti Kulkarni","The Collaboration and Communication Networks within the Crowd",2016
"Crowd","Devon Brackbill, Joshua Becker, Damon Centola","The Danger of Opinion Leaders: How Social Influence Affects the Wisdom of Crowds",2016
"Crowd","Feng Shi, Misha Teplitskiy, Megan Barnes","Political Polarization of Science on Wikipedia",2016
"Security and Crime","Petter Holme, Yukie Sano","Network Effects in Team Assembly and Crime Ideation in Criminal Co-offender Networks",2016
"Security and Crime","Russell Thomas, Mathew Woodyard","Cyber Security as an Evolving Host-Parasite System",2016
"Security and Crime","Camelia Simoiu, Sam Corbett Davies, Sharad Goel","A Novel Statistical Test for Discrimination: Investigating Racial Disparities in Police Traffic Stop Data",2016
"Security and Crime","Sharad Goel, Justin Rao, Ravi Shroff","Personalized Risk Assessments in the Criminal Justice System",2016
"Social Networks","Brian Keegan","The Structure of Sequences: Mining and Interpreting Networks from Event Log Data",2016
"Social Networks","Youngsoo Park, Ayesha Mahmud, Samuel Carton, Kenneth Joseph, Jennifer Helsby, Joseph Walsh, Lauren Haynes, Rayid Ghani","On Predicting Adverse Police-Public Interactions",2016
"Social Networks","Samuel Fraiberger","Personality, Homophily and Embeddedness",2016
"Social Networks","Didem Gundogdu, Jacopo Staiano, Ailbhe N Finnerty, Stefano Teso, Andrea Passerini, Fabio Pianesi, Bruno Lepri","Investigating the Role of Social Interactions on Personality States Dynamics",2016
"Social Media","Abigail Jacobs, Samuel Way, Johan Ugander, Aaron Clauset","Natural Experiments in Online Social Network Assembly",2016
"Social Media","Fatema Akbar","When Did They Join Twitter? Patterns of Twitter Adoption for Different Nationality Groups in The Arab Gulf Countries",2016
"Social Media","Amac Herdagdelen, Winter Mason, Bogdan State, Lada Adamic","The Social Ties of Immigrant Communities in the United States",2016
"Economic Content Analysis","Miguel Acosta","FOMC Responses to Calls for Transparency",2016
"Economic Content Analysis","Aniko Hannak, Claudia Wagner, David Garcia, Alan Mislove, Markus Strohmaier, Christo Wilson","Measuring Discrimination in Online Freelance Marketplaces",2016
"Economic Content Analysis","Kevin Gaughan, Edward Bishop Smith","Better in the Shadows? Media Coverage and Market Reactions to Female CEO Appointments",2016
"Content Analysis","Steven Wilson, Ryan Boyd, Rada Mihalcea, James Pennebaker","Cultural Influences on the Measurement of Psychological Phenomena: Valuebehavior Relationships in India and the United States",2016
"Content Analysis","Jasy Suet Yan Liew, Kevin Crowston, Nancy McCracken","SOCQA: Active Machine Learning Tool for Qualitative Text Analysis",2016
"Content Analysis","Bo Cowgill","Human and Algorithmic Judgment in Resume Screening: Evidence from a Field Experiment",2016
"Keynote","Matthew Salganik","Experiments in the Digital Age",2016
"Keynote","David Ferrucci","AI: Episode II - The Quest for Understanding",2016
"Science of Science","Christian Persson, Ludvig Bohlin, Daniel Edler, Martin Rosvall","Mapping Science with Variable-order Markov Dynamics Reveal Overlapping Fields and Multidisciplinary Journals",2016
"Science of Science","Samuel Way, Daniel Larremore, Aaron Clauset","Trends and Gaps in Scholarly Productivity of Computer Science Faculty",2016
"Science of Science","Valentin Danchev, Jacob G Foster, James Evans","Weighting Experimental Claims to Leverage Scientific Exploration",2016
"Science of Science","Martin Gerlach, Laercio Dias, Eduardo G Altmann","Using Text Analysis to Quantify the Similarity and Evolution of Scientific Disciplines",2016
"Science of Science","James Evans, Peter McMahan","Ambiguity and Intellectual Engagement",2016
"Health and Wellbeing","Hyun Suk Kim, Sijia Yang, Minji Kim, Joseph Cappella","Assessing the Effectiveness of Recommendation Algorithms for Health Message Design: An Experiment",2016
"Health and Wellbeing","Nandana Sengupta, Aakanksha Sinha","Propensity Score Model Selection with an Application to India’s Safe Motherhood Scheme",2016
"Health and Wellbeing","Alexandra Olteanu, Onur Varol, Emre Kiciman","Distilling the Outcomes of Personal Experiences from Social Media Timelines",2016
"Health and Wellbeing","Takuto Sakamoto","Climate Change and African Pastoralists: A Computational Analysis",2016
"Political Content Analysis","Marshall Taylor, Ann Mische, Leslie MacColman","Topic Models as Affiliation Networks",2016
"Political Content Analysis","John J Nay","Distributed Representations of Institutions and Their Policy Text",2016
"Political Content Analysis","Yanchuan Sim, Bryan Routledge, Noah A Smith","Text Reveals Influence: The Case of Amicus Briefs and the Supreme Court",2016
"Political Content Analysis","Jennifer Stromer-Galley, Sikana Tanupabrungsun, Feifei Zhang, Jeff Hemsley, Nancy McCracken, Lauren Bryant, Brian Dobreski, Bryan Semaan","Strategic Changes in Gubernatorial Campaign Messaging Over Time: A Computational Analysis",2016
"Political Content Analysis","Ryan Whalen, Satyam Mukherjee, Brian Uzzi","Legal Evolution: Temporal Patterns of Precedent Citation & Judicial Opinion Impact",2016
"Political Content Analysis","Dallas Card, Amber Boydstun, Noah Smith","Automated Text Analysis to Unframe the News",2016
"Economic Models","Andrew Mao, Lili Dworkin, Siddharth Suri, Duncan Watts","Altruists Stabilize Cooperation in a Long-run Prisoner’s Dilemma Experiment",2016
"Economic Models","Alessio E Biondo, Alessandro Pluchino, Andrea Rapisarda","Modeling Financial Markets by Self-Organized Criticality",2016
"Economic Models","Morgan Frank, Lijun Sun, Manuel Cebrian, Hyejin Youn, Iyad Rahwan","Cities and Resilience to Automation: Specialization or Diversity?",2016
"Economic Models","Srayan Datta, Ceren Budak, Daniel Romero","From Local Popularity to Global Influence: A Computationally Effective Heuristic for Influence Maximization",2016
"Economic Models","Cyrus Dioun, Heather Haveman","Navigating Norms: Making Sense of Products in Contested Markets",2016
"Economic Models","Josep Perello, Jordi Duch, Carlota Segura, Mario Gutierrez-Roig","Market Imitation and Win-Stay Lose-Shift Strategies Emerge as Unintended Patterns in Market Direction Guesses",2016
"Success","Lu Liu, Yang Wang, Chaoming Song, Dashun Wang","Quantifying the Dynamical Impact of Individual Scientists",2016
"Success","Satyam Mukherjee, Yun Huang, Julia Neidhardt, Brian Uzzi, Noshir Contractor","Team Assembly Factors Influencing the Victor in Competitive Environment",2016
"Success","Quincy Stewart, Saheli Nath, Fabio Rojas","Acknowledging Gender Inequality in Sociology: A Network Analysis",2016
